,is_exc_all,pref_orth_diff,sg_idx_snr,sg0_idx_snr,sg0_osi_dich,sg1_si_salient_pref_all,sg2_rf_in,sg2_resp_orth_0,sg2_resp_orth_30,sg2_resp_pref_0,sg2_resp_pref_30,smg_idx_snr
185,True,0.0,False,False,0.8662624816935799,-1.0,False,0.0,0.0,11.608067706275062,9.588799463847701,False
186,True,-0.07330920714407352,False,False,0.35066980639092876,-0.16700096625668276,False,1.5109436631871338,1.7205330347403507,8.165652887561382,6.535387879285293,True
187,True,-0.5696669847776086,False,False,0.14140686246930928,-0.0001632051768868723,False,30.617845124111337,28.69520216589221,100.0,100.0,True
188,True,0.0523105014163332,False,False,0.8712991478149085,-0.5862192273966813,False,0.12002641764970927,0.0,0.2302622647048571,0.11916455502311389,True
189,True,1.3529180856093257,True,True,0.2524699068025325,0.6097869478718226,False,1.27321453156093,1.5269626330775328,4.985409183905293,9.290431776107885,True
190,True,-0.8155000240106176,False,False,0.32837962792701764,0.05438292943517332,False,9.43162138520095,4.492813399955571,32.552547107856626,31.847702330903704,True
191,True,-0.08144685240367089,False,False,0.41197496714886217,-0.0829724845458946,False,2.266366521063714,1.5352211063966539,0.0,0.16600742339132687,True
192,True,-3.1898235191347823,True,False,0.2312396973839182,0.03167896027146376,False,4.207075114170901,1.5515266281689926,2.8081194115675787,1.1970456731386292,True
193,True,-0.3605740546630942,True,True,0.406167916649866,-0.12033390411541181,False,5.503040589093683,7.143499020140808,10.21117428102745,6.694281282058606,True
194,True,-0.23316752914792893,False,False,0.0011624441407598572,0.055100832545198736,False,16.170926853441276,13.11779864738361,4.3951209773046855,2.7646020747488365,True
195,True,-0.8338858633531991,False,False,0.1760706823939432,-0.1304392054227004,False,4.695750633971048,2.1712358168159156,9.99055021487248,9.116113531606224,False
196,True,,False,False,0.16400942595156656,,False,8.557611034514432,8.64556052459356,23.858770949822755,20.653928802020324,True
197,True,1.5756691459757395,False,False,0.30757490034545887,0.15360679723886855,False,15.626543047091657,16.07350239404835,2.7698737927354307,0.850472853351862,True
